ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjobs?jk=34fa532c14506bb9,빅데이터·AI 기반 산업 혁신인재 양성 및 고용 [참여청년 추가 ],재단법인 부산정보산업진흥원 부산 해운대구,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjobs?jk=9fe4755841bec8ce,"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터) 경력직",한국정보기술단 과천 과천시,,"데이터 분석 및 컨설팅 분야 ( Python, SAS, 빅데이터) 경력직... 대졸 이상 (학사 이상 우대) - 데이터 분석 분야 경력 2년 이상 ( Python, R, SAS 기반의 DATA Preparation, 통계, 머신러..."
https://kr.indeed.com/viewjobs?jk=68b91ae2f6c66fa3,[뉴플랫폼기술] 클라우드 개발자 - Kubernetes,한국카카오은행 성남 분당구,,"운영 경험이 1년 이상인 분 · Cloud 환경에서 서비스 구축 및 운영 경험이 있는 분 · Golang, Python, NodeJS, Java 중 하나이상 프로그래밍 언어에 익숙한 분 우대사항 · 서비스 설계 단계부터 참여..."
https://kr.indeed.com/viewjobs?jk=0b8541aed6590a79,"[국비지원 전액무료/120명]AI(인공지능),BC(블록체인) 교육생",고려대학교 세종캠퍼스 세종특별자치시 세종,,목표 교육내용 강의시간(h) 교육형태 파이썬 빅데이터 프로그래밍 . Python의 프로그래밍 기술 파악 - 과정개요 소개(2H) - 기초 파이썬 문법... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjobs?jk=2c370a4752632b5f,(주)엘솔루 웹 개발자,㈜엘솔루 서울,,Javascript / React / Python / NodeJS 개발... Stack 개발 유경험자 ㆍJavascript / React / Python / NodeJS 개발 유경험자 ㆍHTML 5 개발 가능자(필수) 1명...
https://kr.indeed.com/viewjobs?jk=50a4d23577c58924,2021년 2분기 에이비엘생명보험 신입/경력/인턴 직원,ABL생명보험 서울 영등포구,,"해외여행 결격 사유가 없는 자 - 유사 업무 5년 이상 경력(통계분석 및 언더라이팅) [우대사항] - 프로그래밍( Python, DB SQL 등) - 디지털 기술(Machine learning/Bigdata/AI 등) - MS..."
https://kr.indeed.com/viewjobs?jk=6aebabcddef7f514,Field Application Engineer,Nearfield Instruments 대한민국,,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
https://kr.indeed.com/viewjobs?jk=4bd70fb8a220d90d,[Janssen] Data Scientist,Johnson & Johnson Family of Companies 4.2 서울,,"Expertise in one or more programming languages... R, Python or SAS. 7. Knowledge of relational database architecture..."
https://kr.indeed.com/viewjobs?jk=bc7d65215c8334f7,(신입/경력) 컴퓨터 비전 & 머신 러닝 엔지니어,플레이스에이 성남 분당구,,"다룰 수 있다 - C, C++, Python 언어 중 1개 이상 능숙하게... 딥러닝 프레임워크 중 1개 이상 다룰 수 있다 - C, C++, Python 언어 중 1개 이상 능숙하게 다룰 수 있다 - 최신 Detection..."
https://kr.indeed.com/viewjobs?jk=d59f1fe76c20e835,(주)솔라라이트 인공지능(AI)개발 인재,솔라라이트 대구 동구,"월급 2,000,000원",공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjobs?jk=da5d4dd560fb6f85,Data Scientist,Garrett Advancing Motion 경기도,,"System/Data Integration • High level programming skills ( Python, R, Matlab, C++ or Java) • Machine Learning Algorithms..."
https://kr.indeed.com/viewjobs?jk=aa4f54d9c677fd73,인프라보안,NHN 4.4 성남 판교역,,"영역별 취약점에 대한 충분한 이해 - CVE 보안취약점 분석 및 대응 역량 - C, Java, Python 등을 통한 업무 자동화 및 분석도구 개발 경험 - 리버스 엔지니어링에 능숙하거나 다수의 버그바..."
https://kr.indeed.com/viewjobs?jk=39e99c8ed1d40a8f,2021 토스 전 계열사 대규모,비바리퍼블리카 서울 강남구,,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>iOS|인터넷·IT·통신...
https://kr.indeed.com/viewjobs?jk=464ad076ec3e1fa0,CHC – Business intelligence - TOM_2136,Sanofi 4.1 서울,,"degree in related field Business-level experience with R, Python Experience owning the analytics and performance of a large..."
